,Active Agents,Exited Agents,Cumulative Exited Agents,Agents per Cell - Main Exit,Agents per Cell - South West Exit,Agents per Cell - North West Exit,Agents per Cell - East Exit,Agents per Cell - South East Exit,Agents per Cell - First South Exit,Agents per Cell - First North Exit
0,1501,0,0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0
1,1497,0,4,0.0,0.0,0.0,0.5,0.0,0.0,0.0
2,1494,0,7,0.05555555555555555,0.0,0.0,0.8333333333333334,0.0,0.0,0.0
3,1488,0,13,0.16666666666666666,0.0,0.0,0.8333333333333334,0.0,0.0,0.0
4,1480,0,21,0.0,0.25,0.25,1.0,0.0,0.0,0.0
5,1472,0,29,0.16666666666666666,0.25,0.25,0.6666666666666666,0.0,0.0,0.25
6,1462,0,39,0.05555555555555555,0.0,0.5,0.8333333333333334,0.0,0.25,0.0
7,1453,0,48,0.05555555555555555,0.25,0.25,1.0,0.0,0.25,0.0
8,1443,0,58,0.0,0.25,0.25,0.8333333333333334,0.0,0.5,0.25
9,1433,0,68,0.1111111111111111,0.25,0.0,0.8333333333333334,0.0,0.5,0.0
10,1423,0,78,0.0,0.25,0.0,0.8333333333333334,0.0,0.75,0.25
11,1413,0,88,0.05555555555555555,0.25,0.0,0.8333333333333334,0.0,0.5,0.0
12,1404,0,97,0.0,0.25,0.25,0.8333333333333334,0.0,0.75,0.75
13,1391,0,110,0.0,0.5,0.25,0.6666666666666666,0.0,1.0,1.0
14,1376,0,125,0.1111111111111111,0.25,0.5,1.0,0.0,1.0,1.0
15,1357,0,144,0.05555555555555555,0.0,0.25,1.0,0.0,0.5,0.75
16,1344,0,157,0.0,0.75,0.0,0.8333333333333334,0.0,1.0,0.75
17,1329,0,172,0.0,0.75,0.25,1.0,0.0,1.0,0.75
18,1312,0,189,0.05555555555555555,0.0,0.25,1.0,0.0,0.75,0.75
19,1298,0,203,0.0,0.25,0.25,0.8333333333333334,0.0,1.0,0.75
20,1284,0,217,0.1111111111111111,0.5,0.25,0.6666666666666666,0.5,1.0,1.0
21,1266,0,235,0.0,0.0,0.5,1.0,0.0,1.0,1.0
22,1250,0,251,0.0,0.0,0.5,0.8333333333333334,0.5,1.0,1.0
23,1234,0,267,0.05555555555555555,0.0,0.0,1.0,0.0,1.0,0.75
24,1220,0,281,0.0,0.25,0.75,0.8333333333333334,0.0,0.75,1.0
25,1204,0,297,0.05555555555555555,0.0,0.5,1.0,0.0,0.75,1.0
26,1188,0,313,0.0,0.25,0.5,1.0,0.0,0.5,1.0
27,1173,0,328,0.05555555555555555,0.5,0.5,0.6666666666666666,0.0,0.5,1.0
28,1158,0,343,0.05555555555555555,0.0,0.25,0.8333333333333334,0.0,1.0,0.75
29,1144,0,357,0.0,0.25,0.5,1.0,0.0,1.0,1.0
30,1127,0,374,0.0,0.0,0.25,0.8333333333333334,0.0,1.0,1.0
31,1113,0,388,0.0,0.0,0.5,1.0,0.0,1.0,0.75
32,1098,0,403,0.0,0.25,0.0,1.0,0.0,1.0,1.0
33,1083,0,418,0.1111111111111111,0.25,0.0,1.0,0.0,1.0,1.0
34,1066,0,435,0.0,0.0,0.0,1.0,0.0,1.0,0.75
35,1053,0,448,0.05555555555555555,0.0,0.0,0.8333333333333334,0.0,0.75,0.75
36,1041,0,460,0.05555555555555555,0.0,0.0,1.0,0.0,1.0,1.0
37,1026,0,475,0.05555555555555555,0.0,0.0,0.8333333333333334,0.0,0.5,1.0
38,1014,0,487,0.05555555555555555,0.0,0.25,0.8333333333333334,0.0,0.75,1.0
39,1000,0,501,0.05555555555555555,0.25,0.0,0.8333333333333334,0.0,1.0,0.75
40,986,0,515,0.0,0.0,0.25,1.0,0.0,0.75,0.5
41,974,0,527,0.05555555555555555,0.0,0.25,1.0,0.0,0.75,1.0
42,959,0,542,0.0,0.0,0.25,0.8333333333333334,0.0,1.0,1.0
43,945,0,556,0.0,0.0,0.0,0.8333333333333334,0.0,1.0,0.75
44,933,0,568,0.0,0.0,0.0,0.8333333333333334,0.0,1.0,0.75
45,921,0,580,0.0,0.0,0.0,1.0,0.0,1.0,1.0
46,907,0,594,0.0,0.0,0.0,1.0,0.0,1.0,0.75
47,894,0,607,0.0,0.0,0.0,1.0,0.0,0.75,1.0
48,881,0,620,0.0,0.0,0.0,0.6666666666666666,0.0,1.0,1.0
49,869,0,632,0.0,0.0,0.0,0.8333333333333334,0.0,0.75,1.0
50,857,0,644,0.0,0.0,0.0,1.0,0.0,1.0,0.75
51,844,0,657,0.0,0.0,0.0,0.8333333333333334,0.0,0.75,0.75
52,833,0,668,0.0,0.0,0.0,0.8333333333333334,0.0,0.75,1.0
53,821,0,680,0.0,0.0,0.25,0.6666666666666666,0.0,1.0,0.5
54,810,0,691,0.0,0.0,0.25,1.0,0.5,1.0,1.0
55,794,0,707,0.0,0.0,0.0,0.8333333333333334,0.0,0.75,0.75
56,783,0,718,0.0,0.0,0.0,1.0,0.0,0.75,1.0
57,770,0,731,0.0,0.0,0.0,1.0,0.0,1.0,1.0
58,756,0,745,0.0,0.0,0.0,0.6666666666666666,0.0,0.75,0.75
59,746,0,755,0.0,0.5,0.25,1.0,0.0,0.5,1.0
60,731,0,770,0.0,0.0,0.25,0.6666666666666666,0.0,1.0,0.25
61,721,0,780,0.0,0.0,0.0,1.0,0.0,1.0,0.75
62,708,0,793,0.0,0.0,0.0,0.8333333333333334,0.0,0.75,1.0
63,696,0,805,0.0,0.0,0.25,1.0,0.0,0.25,0.75
64,685,0,816,0.0,0.0,0.0,0.8333333333333334,0.0,0.75,1.0
65,673,0,828,0.0,0.0,0.0,0.8333333333333334,0.0,0.75,1.0
66,661,0,840,0.0,0.25,0.0,0.6666666666666666,0.0,0.75,1.0
67,649,0,852,0.0,0.0,0.0,1.0,0.0,0.75,0.25
68,639,0,862,0.0,0.0,0.0,1.0,0.0,1.0,1.0
69,625,0,876,0.0,0.0,0.0,0.8333333333333334,0.0,0.75,0.75
70,614,0,887,0.0,0.0,0.0,0.8333333333333334,0.0,0.5,0.75
71,604,0,897,0.0,0.0,0.0,1.0,0.0,0.5,0.5
72,594,0,907,0.0,0.0,0.0,1.0,0.0,0.75,0.25
73,584,0,917,0.0,0.0,0.0,1.0,0.0,0.5,0.25
74,575,0,926,0.0,0.0,0.0,1.0,0.0,0.75,0.0
75,566,0,935,0.0,0.25,0.0,0.5,0.0,0.5,0.0
76,560,0,941,0.0,0.0,0.0,1.0,0.0,0.75,0.25
77,550,0,951,0.0,0.0,0.0,0.8333333333333334,0.0,0.75,0.0
78,542,0,959,0.0,0.0,0.0,1.0,0.0,0.0,0.25
79,535,0,966,0.0,0.0,0.0,1.0,0.0,0.25,0.25
80,527,0,974,0.0,0.0,0.25,0.8333333333333334,0.0,0.0,0.25
81,520,0,981,0.0,0.0,0.0,1.0,0.0,0.0,0.25
82,513,0,988,0.0,0.0,0.0,0.8333333333333334,0.0,0.0,0.0
83,508,0,993,0.0,0.0,0.0,0.8333333333333334,0.0,0.25,0.0
84,502,0,999,0.0,0.0,0.0,1.0,0.0,0.0,0.0
85,496,0,1005,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0
86,492,0,1009,0.0,0.0,0.0,0.8333333333333334,0.0,0.0,0.25
87,486,0,1015,0.0,0.0,0.0,1.0,0.0,0.25,0.0
88,479,0,1022,0.0,0.0,0.0,1.0,0.0,0.0,0.0
89,473,0,1028,0.0,0.0,0.0,0.8333333333333334,0.0,0.0,0.0
90,468,0,1033,0.0,0.0,0.0,1.0,0.0,0.0,0.5
91,460,0,1041,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0
92,456,0,1045,0.0,0.0,0.0,0.8333333333333334,0.0,0.0,0.5
93,449,0,1052,0.0,0.0,0.0,0.8333333333333334,0.0,0.0,0.0
94,444,0,1057,0.0,0.0,0.0,1.0,0.0,0.5,0.0
95,436,0,1065,0.0,0.0,0.0,0.8333333333333334,0.0,0.25,0.0
96,430,0,1071,0.0,0.0,0.0,0.8333333333333334,0.0,0.0,0.0
97,425,0,1076,0.0,0.0,0.0,0.8333333333333334,0.0,0.5,0.25
98,417,0,1084,0.0,0.0,0.0,0.8333333333333334,0.0,0.0,0.0
99,412,0,1089,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.25
100,407,0,1094,0.0,0.0,0.0,1.0,0.0,0.0,0.0
